source,target
0,1966
1,1966
2,1966
3,1966
4,1966
5,1966
6,1966
7,1967
8,1966
9,1966
10,1966
11,1966
12,1966
13,1966
14,1966
15,1966
16,1966
17,1966
18,1966
19,1968
20,1966
21,1966
22,1966
23,1966
24,1966
25,1966
26,1966
27,1966
28,1966
29,1966
30,1966
31,1966
32,1966
33,1966
34,1966
35,1966
36,1966
37,1966
38,1966
39,1966
40,1966
41,1967
42,1966
43,1966
44,1966
45,1966
46,1966
47,1968
48,1966
49,1966
50,1967
51,1966
52,1966
53,1966
54,1969
55,1966
56,1967
57,1966
58,1966
59,1966
60,1966
61,1966
62,1966
63,1966
64,1966
65,1968
66,1970
67,1966
68,1966
69,1966
70,1968
71,1966
72,1966
73,1966
74,1967
75,1969
76,1966
77,1966
78,1966
79,1966
80,1971
81,1966
82,1966
83,1966
84,1966
85,1966
86,1966
87,1966
88,1966
89,1966
90,1966
91,1966
92,1966
93,1966
94,1966
95,1966
96,1966
97,1966
98,1966
99,1968
100,1966
101,1966
102,1966
103,1966
104,1966
105,1966
106,1966
107,1966
108,1967
109,1966
110,1966
111,1966
112,1966
113,1966
114,1966
115,1966
116,1966
117,1966
118,1966
119,1966
120,1966
121,1966
122,1966
123,1966
124,1966
125,1970
126,1966
127,1966
128,1966
129,1966
130,1966
131,1968
132,1966
133,1966
134,1966
135,1966
136,1966
137,1966
138,1966
139,1966
140,1966
141,1966
142,1966
143,1966
144,1966
145,1966
146,1967
147,1967
148,1971
149,1966
150,1966
151,1967
152,1966
153,1966
154,1966
155,1966
156,1966
157,1966
158,1966
159,1966
160,1967
161,1966
162,1966
163,1966
164,1966
165,1966
166,1970
167,1966
168,1966
169,1966
170,1966
171,1966
172,1968
173,1966
174,1966
175,1966
176,1966
177,1966
178,1966
179,1966
180,1966
181,1966
182,1966
183,1967
184,1966
185,1966
186,1966
187,1968
188,1966
189,1968
190,1966
191,1966
192,1966
193,1966
194,1966
195,1966
196,1966
197,1966
198,1966
199,1966
200,1966
201,1967
202,1966
203,1966
204,1966
205,1966
206,1966
207,1966
208,1970
209,1966
210,1966
211,1966
212,1966
213,1966
214,1966
215,1966
216,1966
217,1966
218,1966
219,1966
220,1966
221,1966
222,1966
223,1966
224,1966
225,1966
226,1966
227,1966
228,1966
229,1966
230,1966
231,1966
232,1969
233,1968
234,1968
235,1966
236,1966
237,1967
238,1966
239,1966
240,1966
241,1967
242,1966
243,1966
244,1966
245,1966
246,1966
247,1966
248,1966
249,1970
250,1970
251,1966
252,1966
253,1966
254,1966
255,1966
256,1966
257,1966
258,1966
259,1968
260,1966
261,1967
262,1966
